Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], coordinates[lat° ' "N long° ' "W], coordinates[lat°N long°W], coordinates[lat long], Zip Codes
1, New York City, New York, 8398748, 8175133, +2.74%, 301.5, 780.9, 28317, 10933, 40°39′49″N 73°56′19″W, 40.6635°N 73.9387°W, 40.6635 -73.9387, 100xx–104xx  11004–05  111xx–114xx  116xx
2, Los Angeles, California, 3990456, 3792621, +5.22%, 468.7, 1213.9, 8484, 3276, 34°01′10″N 118°24′39″W, 34.0194°N 118.4108°W, 34.0194 -118.4108, List  90001–90084  90086–90089  90091  90093–90097  90099  90101–90103  90174  90185  90189  90291–90293  91040–91043  91303–91308  91311  91316  91324–91328  91330  91331  91335  91340  91342–91349  91352–91353  91356–91357  91364–91367  91401–91499  91504–91505  91601–91609
3, Chicago, Illinois, 2705994, 2695598, +0.39%, 227.3, 588.7, 11900, 4600, 41°50′15″N 87°40′54″W, 41.8376°N 87.6818°W, 41.8376 -87.6818, 606xx  607xx  608xx
4, Houston, Texas, 2325502, 2100263, +10.72%, 637.5, 1651.1, 3613, 1395, 29°47′12″N 95°23′27″W, 29.7866°N 95.3909°W, 29.7866 -95.3909, 770xx  772xx (P.O. Boxes)
5, Phoenix, Arizona, 1660272, 1445632, +14.85%, 517.6, 1340.6, 3120, 1200, 33°34′20″N 112°05′24″W, 33.5722°N 112.0901°W, 33.5722 -112.0901, 85001–85099
6, Philadelphia, Pennsylvania, 1584138, 1526006, +3.81%, 134.2, 347.6, 11683, 4511, 40°00′34″N 75°08′00″W, 40.0094°N 75.1333°W, 40.0094 -75.1333, 19092-19093  19099  191xx
7, San Antonio, Texas, 1532233, 1327407, +15.43%, 461.0, 1194.0, 3238, 1250, 29°28′21″N 98°31′30″W, 29.4724°N 98.5251°W, 29.4724 -98.5251, 78201-66  78268-70  78275  78278-80  78283-89  78291-99
8, San Diego, California, 1425976, 1307402, +9.07%, 325.2, 842.3, 4325, 1670, 32°48′55″N 117°08′06″W, 32.8153°N 117.1350°W, 32.8153 -117.1350, 92101–92124  92126–92132  92134–92140  92142  92143  92145  92147  92149–92155  92158–92161  92163  92165–92179  92182  92186  92187  92190–92199
9, Dallas, Texas, 1345047, 1197816, +12.29%, 340.9, 882.9, 3866, 1493, 32°47′36″N 96°45′59″W, 32.7933°N 96.7665°W, 32.7933 -96.7665, ZIP Codes  75201-75212  75214-75238  75240-75254  75258  75260-75267  75270  75275  75277  75283-75287  75301  75303  75310  75312-75313  75315  75320  75323  75326  75334  75336  75339-75340  75342-75344  75354-75360  75367-75368  75370-75374  75376  75378-75382  75387  75389-75394
10, San Jose, California, 1030119, 945942, +8.90%, 177.5, 459.7, 5777, 2231, 37°17′48″N 121°49′08″W, 37.2967°N 121.8189°W, 37.2967 -121.8189, List  95002  95008  95101  95103  95106  95108–95113  95115–95141  95148  95150–95161  95164  95170  95172  95173  95190–9519   95196
11, Austin, Texas, 964254, 790390, +22.00%, 312.7, 809.9, 3031, 1170, 30°18′14″N 97°45′16″W, 30.3039°N 97.7544°W, 30.3039 -97.7544, 78701–78705  78708–78739  78741–78742  78744–78769
12, Jacksonville, Florida, 903889, 821784, +9.99%, 747.4, 1935.8, 1178, 455, 30°20′13″N 81°39′42″W, 30.3369°N 81.6616°W, 30.3369 -81.6616, 32099  32201–32212  32214–32241  32244–32247  32250  32254–32260  32266  32267  32277  32290
13, Fort Worth, Texas, 895008, 741206, +20.75%, 342.9, 888.1, 2491, 962, 32°46′53″N 97°20′48″W, 32.7815°N 97.3467°W, 32.7815 -97.3467, 76120  76008  76028  76036  76101-76124  76126-76127  76130-76137  76140  76147-76148  76150  76155  76161-76164  76166  76177  76179  76180-76182  76185  76191-76193  76195-76199  76244  76247  76262  76129 (exclusive to TCU)  76107
14, Columbus, Ohio, 892533, 787033, +13.40%, 218.5, 565.9, 3936, 1520, 39°59′07″N 82°59′05″W, 39.9852°N 82.9848°W, 39.9852 -82.9848, Zip codes  43035  43085  43201-43207  43209-43224  43226-43232  43234-43236  43240  43251  43260  43266  43268  43270-43272  43279  43287  43291
15, San Francisco, California, 883305, 805235, +9.70%, 46.9, 121.5, 18569, 7170, 37°43′38″N 123°01′56″W, 37.7272°N 123.0322°W, 37.7272 -123.0322, List  94102–94105  94107–94112  94114–94134  94137  94139–94147  94151  94158–94161  94163–94164  94172  94177  94188
16, Charlotte, North Carolina, 872498, 731424, +19.29%, 305.4, 791.0, 2757, 1064, 35°12′28″N 80°49′52″W, 35.2078°N 80.8310°W, 35.2078 -80.8310, 28201-28237  28240-28247  28250  28253-28256  28258   28260-28262  28265-28266  28269-28275  28277-28278  28280-28290  28296-28297  28299
17, Indianapolis, Indiana, 867125, 820445, +5.69%, 361.5, 936.3, 2366, 914, 39°46′36″N 86°08′45″W, 39.7767°N 86.1459°W, 39.7767 -86.1459, 61 total ZIP codes:  46201–46209  46211  46214  46216–46231  46234–46237  46239–46242  46244  46247  46249–46251  46253–46256  46259–46260  46266  46268  46274–46275  46277–46278  46280  46282–46283  46285  46290–46291  46295–46296  46298
18, Seattle, Washington, 744955, 608660, +22.39%, 83.8, 217.0, 8405, 3245, 47°37′14″N 122°21′03″W, 47.6205°N 122.3509°W, 47.6205 -122.3509, .mw-parser-output .nobold{font-weight:normal}ZIP codes  98101–98119  98121–98122  98124–98127  98129  98131  98133–98134  98136  98138–98139  98141  98144–98146  98148  98154–98155  98158  98160–98161  98164–98166  98168  98170  98174–98175  98177–98178  98181  98185  98188  98190–98191  98194–98195  98198–98199
19, Denver, Colorado, 716492, 600158, +19.38%, 153.3, 397.0, 4521, 1746, 39°45′43″N 104°52′52″W, 39.7619°N 104.8811°W, 39.7619 -104.8811, 80201–80212  80214–80239  80241  80243–80244  80246–80252  80256–80266  80271  80273–80274  80279–80281  80290–80291  80293–80295  80299  80012  80014  80022  80033  80123  80127
20, Washington D.C., District of Columbia, 702455, 601723, +16.74%, 61.1, 158.2, 11148, 4304, 38°54′15″N 77°01′02″W, 38.9041°N 77.0172°W, 38.9041 -77.0172, 20001–20098  20201–20599
21, Boston, Massachusetts, 694583, 617594, +12.47%, 48.3, 125.1, 13938, 5381, 42°19′55″N 71°01′13″W, 42.3320°N 71.0202°W, 42.3320 -71.0202, 53 ZIP codes  02108–02137  02163  02196  02199  02201  02203  02204  02205  02206  02210  02211  02212  02215  02217  02222  02126  02228  02241  02266  02283  02284  02293  02295  02297  02298  02467 (also includes parts of Newton and Brookline)
22, El Paso, Texas, 682669, 649121, +5.17%, 256.8, 665.1, 2660, 1030, 31°50′54″N 106°25′37″W, 31.8484°N 106.4270°W, 31.8484 -106.4270, 79900-79999 88500-88599 (PO Boxes)
23, Detroit, Michigan, 672662, 713777, −5.76%, 138.8, 359.5, 4847, 1871, 42°22′59″N 83°06′08″W, 42.3830°N 83.1022°W, 42.3830 -83.1022, 48127  48201  48202  48204–48206  48208–48210  48212–48217  48219  48221–48228  48231–48235  48236  48238–48240  48243  48244  48255  48260  48264  48266–48269  48272  48275  48277–48279  48288
24, Nashville, Tennessee, 669053, 601222, +11.28%, 475.9, 1232.6, 1388, 536, 36°10′18″N 86°47′06″W, 36.1718°N 86.7850°W, 36.1718 -86.7850, 37201-37250
25, Portland, Oregon, 653115, 583776, +11.88%, 133.5, 345.8, 4793, 1851, 45°32′13″N 122°39′00″W, 45.5370°N 122.6500°W, 45.5370 -122.6500, 97086-97299
26, Memphis, Tennessee, 650618, 646889, +0.58%, 317.4, 822.1, 2056, 794, 35°06′10″N 89°58′39″W, 35.1028°N 89.9774°W, 35.1028 -89.9774, Zip codes  37501  37544  38002  38016  38018  38028  38088  38101  38103–38109  38111–38120  38122  38124–38128  38130–38139  38141  38145  38147–38148  38150–38152  38157  38159  38161  38163  38166–38168  38173–38175  38177  38181–38182  38184  38186–38188  38190  38193–38194  38197
27, Oklahoma City, Oklahoma, 649021, 579999, +11.90%, 606.3, 1570.3, 1053, 407, 35°28′02″N 97°30′49″W, 35.4671°N 97.5137°W, 35.4671 -97.5137, Zip codes  73101-73132  73134-73137  73139-73160  73162-73165  73167  73169-73170  73172-73173  73178-73179  73184-73185  73189-73190  73194-73196  73198  74013
28, Las Vegas, Nevada, 644644, 583756, +10.43%, 134.4, 348.1, 4709, 1818, 36°13′45″N 115°15′36″W, 36.2292°N 115.2601°W, 36.2292 -115.2601, Las Vegas error: parse didn't find zip codes
29, Louisville, Kentucky, 620118, 597337, +3.81%, 263.5, 682.5, 2339, 903, 38°09′55″N 85°38′51″W, 38.1654°N 85.6474°W, 38.1654 -85.6474, major: 402xxminor: 400xx  401xx
30, Baltimore, Maryland, 602495, 620961, −2.97%, 80.9, 209.5, 7598, 2934, 39°18′00″N 76°36′38″W, 39.3000°N 76.6105°W, 39.3000 -76.6105, Zip codes  21201–21231  21233–21237  21239–21241  21244  21250–21252  21263–21265  21268  21270  21273–21275  21278–21290  21297–21298
