Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], location,
1, New York City, New York, 8398748, 8175133, +2.74%, 301.5, 780.9, 28317, 10933, 40°39′49″N 73°56′19″W, 
2, Los Angeles, California, 3990456, 3792621, +5.22%, 468.7, 1213.9, 8484, 3276, 34°01′10″N 118°24′39″W, 
3, Chicago, Illinois, 2705994, 2695598, +0.39%, 227.3, 588.7, 11900, 4600, 41°50′15″N 87°40′54″W, 
4, Houston, Texas, 2325502, 2100263, +10.72%, 637.5, 1651.1, 3613, 1395, 29°47′12″N 95°23′27″W, 
5, Phoenix, Arizona, 1660272, 1445632, +14.85%, 517.6, 1340.6, 3120, 1200, 33°34′20″N 112°05′24″W, 
6, Philadelphia, Pennsylvania, 1584138, 1526006, +3.81%, 134.2, 347.6, 11683, 4511, 40°00′34″N 75°08′00″W, 
7, San Antonio, Texas, 1532233, 1327407, +15.43%, 461.0, 1194.0, 3238, 1250, 29°28′21″N 98°31′30″W, 
8, San Diego, California, 1425976, 1307402, +9.07%, 325.2, 842.3, 4325, 1670, 32°48′55″N 117°08′06″W, 
9, Dallas, Texas, 1345047, 1197816, +12.29%, 340.9, 882.9, 3866, 1493, 32°47′36″N 96°45′59″W, 
10, San Jose, California, 1030119, 945942, +8.90%, 177.5, 459.7, 5777, 2231, 37°17′48″N 121°49′08″W, 
11, Austin, Texas, 964254, 790390, +22.00%, 312.7, 809.9, 3031, 1170, 30°18′14″N 97°45′16″W, 
12, Jacksonville, Florida, 903889, 821784, +9.99%, 747.4, 1935.8, 1178, 455, 30°20′13″N 81°39′42″W, 
13, Fort Worth, Texas, 895008, 741206, +20.75%, 342.9, 888.1, 2491, 962, 32°46′53″N 97°20′48″W, 
14, Columbus, Ohio, 892533, 787033, +13.40%, 218.5, 565.9, 3936, 1520, 39°59′07″N 82°59′05″W, 
15, San Francisco, California, 883305, 805235, +9.70%, 46.9, 121.5, 18569, 7170, 37°43′38″N 123°01′56″W, 
16, Charlotte, North Carolina, 872498, 731424, +19.29%, 305.4, 791.0, 2757, 1064, 35°12′28″N 80°49′52″W, 
17, Indianapolis, Indiana, 867125, 820445, +5.69%, 361.5, 936.3, 2366, 914, 39°46′36″N 86°08′45″W, 
18, Seattle, Washington, 744955, 608660, +22.39%, 83.8, 217.0, 8405, 3245, 47°37′14″N 122°21′03″W, 
19, Denver, Colorado, 716492, 600158, +19.38%, 153.3, 397.0, 4521, 1746, 39°45′43″N 104°52′52″W, 
20, Washington D.C., District of Columbia, 702455, 601723, +16.74%, 61.1, 158.2, 11148, 4304, 38°54′15″N 77°01′02″W, 
