elevation[meters], WeatherDataValidUntil, temperature[°F], temperatureTrend, windDirection, windSpeed, shortForecast
17.0688, 2019-05-26T18:00:00-04:00, 89, None, W, 9 to 15 mph, Mostly Sunny then Chance Showers And Thunderstorms
38.1, 2019-05-26T18:00:00-07:00, 61, None, SW, 5 to 10 mph, Rain Showers Likely
178.00320000000002, 2019-05-26T18:00:00-05:00, 66, falling, NE, 5 mph, Rain Showers Likely
17.9832, 2019-05-26T18:00:00-05:00, 90, falling, S, 5 to 10 mph, Mostly Sunny
384.9624, 2019-05-26T18:00:00-07:00, 84, falling, SSW, 10 to 15 mph, Sunny
29.8704, 2019-05-26T18:00:00-04:00, 90, None, W, 12 mph, Mostly Sunny then Chance Showers And Thunderstorms
227.99040000000002, 2019-05-26T18:00:00-05:00, 90, None, SSE, 15 to 20 mph, Isolated Rain Showers
124.0536, 2019-05-26T18:00:00-07:00, 60, None, SW, 5 to 10 mph, Rain Showers
153.924, 2019-05-26T18:00:00-05:00, 90, None, S, 10 to 15 mph, Mostly Cloudy
39.9288, 2019-05-26T18:00:00-07:00, 62, None, W, 9 to 13 mph, Showers And Thunderstorms Likely
181.96560000000002, 2019-05-26T18:00:00-05:00, 90, None, SSE, 10 to 15 mph, Partly Sunny
7.010400000000001, 2019-05-26T18:00:00-04:00, 97, None, SE, 5 to 9 mph, Sunny
160.9344, 2019-05-26T18:00:00-05:00, 90, None, S, 15 mph, Mostly Cloudy
238.9632, 2019-05-26T18:00:00-04:00, 83, None, W, 9 mph, Showers And Thunderstorms Likely
0, 2019-05-26T18:00:00+00:00, 55, None, WNW, 31 mph, Chance Rain Showers
199.9488, 2019-05-26T18:00:00-04:00, 96, None, WNW, 6 to 9 mph, Sunny
221.89440000000002, 2019-05-26T18:00:00-04:00, 81, falling, WSW, 6 to 10 mph, Chance Showers And Thunderstorms
32.004000000000005, 2019-05-26T18:00:00-07:00, 68, falling, N, 16 mph, Slight Chance Rain Showers
1615.1352000000002, 2019-05-26T18:00:00-06:00, 81, falling, SE, 3 to 13 mph, Mostly Sunny then Chance Showers And Thunderstorms
21.945600000000002, 2019-05-26T18:00:00-04:00, 91, None, W, 7 to 10 mph, Partly Sunny then Chance Showers And Thunderstorms
0, 2019-05-26T18:00:00-04:00, 84, None, W, 12 to 17 mph, Mostly Sunny
1190.8536000000001, 2019-05-26T18:00:00-06:00, 92, None, SW, 7 to 30 mph, Mostly Sunny then Areas Of Blowing Dust
178.00320000000002, 2019-05-26T18:00:00-04:00, 74, falling, SSE, 1 to 5 mph, Chance Showers And Thunderstorms
0, 2019-05-26T18:00:00-05:00, 93, None, SW, 5 to 10 mph, Sunny
60.96, 2019-05-26T18:00:00-07:00, 73, None, N, 7 to 12 mph, Slight Chance Rain Showers then Slight Chance Showers And Thunderstorms
92.964, 2019-05-26T18:00:00-05:00, 93, None, SW, 10 mph, Sunny
370.0272, 2019-05-26T18:00:00-05:00, 84, None, S, 15 mph, Partly Sunny
730.9104, 2019-05-26T18:00:00-07:00, 73, falling, S, 7 to 22 mph, Mostly Sunny then Chance Rain Showers
182.88, 2019-05-26T18:00:00-04:00, 88, None, SW, 8 to 13 mph, Mostly Sunny then Chance Showers And Thunderstorms
2.1336, 2019-05-26T18:00:00-04:00, 90, None, W, 7 to 10 mph, Partly Sunny then Scattered Showers And Thunderstorms
217.93200000000002, 2019-05-26T18:00:00-05:00, 67, None, NE, 5 mph, Mostly Sunny
1520.952, 2019-05-26T18:00:00-06:00, 84, falling, S, 10 to 30 mph, Mostly Sunny then Isolated T-storms
808.9392, 2019-05-26T18:00:00-07:00, 82, None, SSW, 12 to 20 mph, Sunny
91.1352, 2019-05-26T18:00:00-07:00, 60, None, ESE, 5 mph, Rain Showers
405.9936, 2019-05-26T18:00:00-07:00, 86, falling, SSW, 15 mph, Sunny
7.9248, 2019-05-26T18:00:00-07:00, 64, None, SSW, 9 to 16 mph, Chance Showers And Thunderstorms
287.1216, 2019-05-26T18:00:00-04:00, 95, None, W, 5 to 10 mph, Sunny
219.15120000000002, 2019-05-26T18:00:00-05:00, 81, None, S, 7 mph, Slight Chance Showers And Thunderstorms
1950.1104, 2019-05-26T18:00:00-06:00, 74, None, SSE, 5 to 20 mph, Partly Sunny then Slight Chance Showers And Thunderstorms
2.1336, 2019-05-26T18:00:00-04:00, 87, None, E, 15 mph, Mostly Sunny
102.108, 2019-05-26T18:00:00-04:00, 94, None, W, 3 to 8 mph, Sunny
359.05440000000004, 2019-05-26T18:00:00-05:00, 79, None, ESE, 7 mph, Partly Sunny then Slight Chance Showers And Thunderstorms
28.956000000000003, 2019-05-26T18:00:00-07:00, 62, None, SW, 5 to 15 mph, Rain Showers Likely
3.048, 2019-05-26T18:00:00-04:00, 90, None, N, 6 to 9 mph, Mostly Sunny
13.1064, 2019-05-26T18:00:00-07:00, 60, falling, W, 13 to 18 mph, Chance Showers And Thunderstorms
270.0528, 2019-05-26T18:00:00-05:00, 74, None, E, 0 to 5 mph, Sunny
227.99040000000002, 2019-05-26T18:00:00-05:00, 87, None, S, 10 to 15 mph, Slight Chance Showers And Thunderstorms
193.8528, 2019-05-26T18:00:00-05:00, 89, None, S, 15 mph, Mostly Cloudy
7.010400000000001, 2019-05-26T18:00:00-04:00, 97, None, E, 6 mph, Sunny
0.9144000000000001, 2019-05-26T18:00:00-05:00, 88, None, E, 5 to 10 mph, Sunny
402.0312, 2019-05-26T18:00:00-05:00, 81, None, SSE, 9 to 15 mph, Chance Showers And Thunderstorms
182.88, 2019-05-26T18:00:00-04:00, 74, None, NW, 7 mph, Chance Showers And Thunderstorms
116.12880000000001, 2019-05-26T18:00:00-07:00, 66, None, W, 5 to 10 mph, Mostly Cloudy then Rain Showers
1737.0552, 2019-05-26T18:00:00-06:00, 78, falling, SSE, 7 to 17 mph, Mostly Sunny then Chance Showers And Thunderstorms
181.96560000000002, 2019-05-26T18:00:00-07:00, 59, None, SW, 5 to 10 mph, Rain Showers
